,Players,Country,Retainer Fee / contract / base salary,Test Fee,ODI Fee,T20 Fee,Base_sal_pounds
0,Babar Azam,Pakistan,1.25 million PKR (+ undisclosed Captain allowance) per month,"PKR 50,000","PKR 25,000","PKR 15,000",59184.0
1,Mohammad Rizwan,Pakistan,1.25 million PKR per month,"PKR 50,000","PKR 25,000","PKR 15,000",59184.0
2,Hasan Ali,Pakistan,1.25 million PKR per month,"PKR 50,000","PKR 25,000","PKR 15,000",59184.0
3,Shaheen Afridi,Pakistan,1.25 million PKR per month,"PKR 50,000","PKR 25,000","PKR 15,000",59184.0
4,Azhar Ali,Pakistan,"937,500 PKRper month","PKR 40,000",0,0,39375.0
5,Faheem Ashraf,Pakistan,"937,500 PKR per month","PKR 40,000","PKR 20,000","PKR 12,500",39375.0
6,Fakhar Zaman,Pakistan,"937,500 PKR per month","PKR 40,000","PKR 20,000","PKR 12,500",39375.0
7,Fawad Alam,Pakistan,"937,500 PKR per month","PKR 40,000",0,0,39375.0
8,Shadab Khan,Pakistan,"937,500 PKR per month","PKR 40,000","PKR 20,000","PKR 12,500",39375.0
9,Yasir Shah,Pakistan,"937,500 PKR per month","PKR 40,000","PKR 20,000",0,39375.0
10,Sarfaraz Ahmed,Pakistan,"562,500 PKR per month","PKR 37,500",0,"PKR 10,000",23625.0
11,Imam-ul-Haq,Pakistan,"562,500 PKR per month","PKR 37,500","PKR 17,500",0,23625.0
12,Haris Rauf,Pakistan,"562,500 PKR per month","PKR 37,500","PKR 17,500","PKR 10,000",23625.0
13,Mohammad Hasnain,Pakistan,"562,500 PKR per month","PKR 37,500","PKR 17,500","PKR 10,000",23625.0
14,Mohammad Nawaz,Pakistan,"562,500 PKR per month","PKR 37,500","PKR 17,500","PKR 10,000",23625.0
15,Nauman Ali,Pakistan,"562,500 PKR per month","PKR 37,500","PKR 17,500",0,23625.0
16,Abid Ali,Pakistan,"562,500 PKR per month","PKR 37,500","PKR 17,500",0,23625.0
17,Usman Qadir,Pakistan,"300,500 PKR per month","PKR 30,000","PKR 14,500","PKR 10,000",12621.0
18,"Imran Butt,",Pakistan,"300,500 PKR per month","PKR 30,000",0,0,12621.0
19,Shahnawaz Dahani,Pakistan,"300,500 PKR per month","PKR 30,000","PKR 14,500","PKR 10,000",12621.0
20,Virat Kohli,India,7 0000000 ,15 00000,6 00000,3 00000,693000.0
21,Rohit Sharma (C),India,7 0000000 ,18 00000,720000,360000,693000.0
22,Jasprit Bumrah,India,7 0000000 per month,15 00000,6 00000,3 00000,693000.0
23,Ravichandran Ashwin,India,5 0000000 ,15 00000,6 00000,3 00000,495000.00000000006
24,Ravindra Jadeja,India,5 0000000 ,15 00000,6 00000,3 00000,495000.00000000006
25,Rishabh Pant,India,5 0000000,15 00000,6 00000,3 00000,495000.00000000006
26,KL Rahul (VC),India,5 0000000,15 00000,6 00000,3 00000,495000.00000000006
27,Mohammad Shami,India,5 0000000,15 00000,6 00000,3 00000,495000.00000000006
28,Cheteshwar Pujara,India,3 0000000,15 00000,6 00000,3 00000,297000.0
29,Ajinkya Rahane,India,3 0000000,15 00000,6 00000,3 00000,297000.0
30,Axer Patel,India,3 0000000,15 00000,6 00000,3 00000,297000.0
31,Shradul Thakur,India,3 0000000,5 00000,6 00000,3 00000,297000.0
32,Sheryas Iyer,India,3 0000000,15 00000,6 00000,3 00000,297000.0
33,Mohammad Siraj,India,3 0000000,15 00000,6 00000,3 00000,297000.0
34,Ishant Sharma,India,3 0000000,15 00000,6 00000,3 00000,297000.0
35,Shikhar Dhawan,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
36,Umesh Yadav,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
37,Bhuvenushwar Kumar,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
38,Hardik Pandya,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
39,Washington Sundar,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
40,Shubman Gill,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
41,Hanuma Vihari,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
42,Yuzvendra Chahal,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
43,Wriddhiman Saha,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
44,Suryakumar Yadav,India,1 0000000,15 00000,6 00000,3 00000,99000.00000000001
45,Mayank Agarwal,India,1 0000000,1500000,6 00000,3 00000,99000.00000000001
46,Deepak Chahar,India,1 0000000,1500000,6 00000,3 00000,99000.00000000001
47,Eoin Morgan,England,"£925,000 (plus undisclosed captain allowance)",14500,4500,4500,925000.0
48,James Anderson,England,925000,14500,4500,4500,925000.0
49,Stuart Broad,England,925000,14500,4500,4500,925000.0
50,Joe Root,England,"£925,000 (Undisclosed test captain allowance)",14500,4500,4500,925000.0
51,Ben Stokes,England,925000,14500,4500,4500,925000.0
52,Jonathan Bairstow,England,925000,14500,4500,4500,925000.0
53,Jos Buttler,England,925000,14500,4500,4500,925000.0
54,Chris Woakes,England,925000,14500,4500,4500,925000.0
55,Moeen Ali,England,925000,14500,4500,4500,925000.0
56,Sam Curran,England,925000,14500,4500,4500,925000.0
57,Jofra Archer,England,925000,14500,4500,4500,925000.0
58,Jason Roy,England,925000,14500,4500,4500,925000.0
59,Mark Wood,England,925000,14500,4500,4500,925000.0
60,Adil Rashid,England,925000,14500,4500,4500,925000.0
61,Rory Burns,England,925000,14500,4500,4500,925000.0
62,Zak Crawley,England,925000,14500,4500,4500,925000.0
63,Jack Leach,England,925000,14500,4500,4500,925000.0
64,Dawid Malan,England,925000,14500,4500,4500,925000.0
65,Ollie Pope,England,925000,14500,4500,4500,925000.0
66,Ollie Robinson,England,925000,14500,4500,4500,925000.0
67,Aaron Finch,Australia,$1.5 million,"$15,000","$18,000","$20,000",1210537.0
68,Tim Paine,Australia,$1 million,"$15,000","$18,000","$20,000",807025.0
69,Steve Smith,Australia,$1 million,"$15,000","$18,000","$20,000",807025.0
70,Pat Cummins,Australia,"$850,000","$15,000","$18,000","$20,000",688500.0
71,Glenn Maxwell,Australia,"$850,000","$15,000","$18,000","$20,000",688500.0
72,David Warner,Australia,$1 million,"$15,000","$18,000","$20,000",59184.0
73,Mitchell Starc,Australia,"$750,000","$15,000","$18,000","$20,000",607500.0
74,Adam Zampa,Australia,"$700,000","$15,000","$18,000","$20,000",567000.0
75,James Pattinson,Australia,"$500,000","$15,000","$18,000","$20,000",405000.0
76,Josh Hazlewood,Australia,"$500,000","$15,000","$18,000","$20,000",405000.0
77,Nathan Lyon,Australia,"$500,000","$15,000","$18,000","$20,000",405000.0
78,Ashton Agar,Australia,"$500,000","$15,000","$18,000","$20,000",405000.0
79,Alex Carey,Australia,"$275,000","$15,000","$18,000","$20,000",222750.00000000003
80,Cameron Green,Australia,"$275,000","$15,000","$18,000","$20,000",222750.00000000003
81,Marnus Labuschagne,Australia,"$275,000","$15,000","$18,000","$20,000",222750.00000000003
82,Kane Richardson,Australia,"$275,000","$15,000","$18,000","$20,000",222750.00000000003
83,Jhye Richardson,Australia,"$275,000","$15,000","$18,000","$20,000",222750.00000000003
84,Temba Bavuma,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
85,Quinton de Kock,South Africa,"$350,000","$4,500","$1,200",$800,283500.0
86,Dean Elgar,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
87,Beuran Hendricks,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
88,Reeza Hendricks,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
89,Heinrich Klaasen,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
90,Keshav Maharaj,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
91,Aiden Markram,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
92,David Miller,South Africa,"$250,000","$4,500","$1,200",$800,202500.0
93,Lungi Ngidi,South Africa,"$250,000","$4,500","$1,200",$800,202500.0
94,Anrich Nortje,South Africa,"$75,000","$4,500","$1,200",$800,60750.00000000001
95,Andile Phehlukwayo,South Africa,"$75,000","$4,500","$1,200",$800,60750.00000000001
96,Dwaine Pretrious,South Africa,"$75,000","$4,500","$1,200",$800,60750.00000000001
97,Kagiso Rabada,South Africa,"$250,000","$4,500","$1,200",$800,202500.0
98,Tabraiz Shamsi,South Africa,"$75,000","$4,500","$1,200",$800,60750.00000000001
99,Rassie van der Dussen,South Africa,"$100,000","$4,500","$1,200",$800,81000.0
100,Kane Williamson (C),New Zealand,"$440,000","$8,495","$3,682","$2,407",356400.0
101,Martin Guptill,New Zealand,"$350,000",0,"$3,682","$2,407",283500.0
102,Colin Munro,New Zealand,"$180,000",0,0,"$2,407",145800.0
103,Henry Nicholls,New Zealand,"$85,585","$8,495","$3,682",0,69323.85
104,Ross Taylor,New Zealand,"$400,000","$8,495",0,"$2,407",324000.0
105,Daryl Mitchell,New Zealand,"$85,585",0,"$3,682","$2,407",69323.85
106,Tom Latham,New Zealand,"$205,266","$8,495","$3,682",0,166265.46000000002
107,Tom Blundell,New Zealand,"$85,585","$8,495","$3,682","$2,407",69323.85
108,Tim Seifert,New Zealand,"$50,000",0,0,"$2,407",40500.0
109,Bradley John Watling,New Zealand,"$50,000","$8,495",0,0,40500.0
110,Colin de Grandhomme,New Zealand,"$350,000","$8,495","$3,682","$2,407",283500.0
111,James Neesham,New Zealand,"$350,000",0,"$3,682",$2407,283500.0
112,Mitchell Santner,New Zealand,"$85,585","$8,495","$3,682","$2,407",69323.85
113,Todd Astle,New Zealand,"$85,585","$8,495","$3,682","$2,407",69323.85
114,Trent Boult,New Zealand,"$400,000","$8,495","$3,682","$2,407",324000.0
115,Lachlan Ferguson,New Zealand,0,"$8,495","$3,682","$2,407",0.0
116,Matt Henry,New Zealand,"$205,266","$8,495","$3,682",0,166265.46000000002
117,Tim Southee,New Zealand,"$350,000","$8,495","$3,682","$2,407",283500.0
118,Neil Wagner,New Zealand,"$85,585","$8,495",0,0,69323.85
119,Jason Holder,West Indies,$80000,"$6,500","$4,500","$3,000",64800.00000000001
120,Kraigg Brathwaite,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
121,Jermaine Blackwood,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
122,Nkrumah Bonner,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
123,Rahkeem Cornwall,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
124,Joshua Da Silva,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
125,Shannon Gabriel,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
126,Kyle Mayers,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
127,Kemar Roach,West Indies,$60000,"$6,500","$4,500","$3,000",48600.0
128,"Kieron Pollard,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
129,"Fabien Allen,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
130,"Darren Bravo,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
131,"Shai Hope,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
132,"Akeal Hosein*,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
133,"Evin Lewis,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
134,"Alzarri Joseph,",West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
135,Nicholas Pooran and .,West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
136,Hayden Walsh Jr,West Indies,$40000,"$6,500","$4,500","$3,000",32400.000000000004
137,Dimuth Karunaratne,Sri Lanka,"$100,000","$7,500","$5,500","$3,500",81000.0
138,Dinesh Chandimal,Sri Lanka,"$80,000","$7,500","$5,500","$3,500",64800.00000000001
139,Dasun Shanaka,Sri Lanka,"$65,000","$7,500","$5,500","$3,500",52650.0
140,Suranga Lakmal,Sri Lanka,"$60,000","$7,500","$5,500","$3,500",48600.0
141,Lasith Embuldeniya,Sri Lanka,"$60,000","$7,500","$5,500","$3,500",48600.0
142,Pathum Nissanka,Sri Lanka,"$60,000","$7,500","$5,500","$3,500",48600.0
143,Wanindu Hasaranga,Sri Lanka,"$60,000","$7,500","$5,500","$3,500",48600.0
144,Kusal Mendis,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
145,Dananjaya De Silva,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
146,Ramesh Mendis,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
147,Kusal Janith Parera,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
148,Akila Dananjaya,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
149,Dushmantha Chameera,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
150,Oshada Fernando,Sri Lanka,"$35,000","$7,500","$5,500","$3,500",28350.000000000004
151,Lahiru Thirimanne,Sri Lanka,"$25,000","$7,500","$5,500","$3,500",20250.0
152,Vishwa Fernando,Sri Lanka,"$25,000","$7,500","$5,500","$3,500",20250.0
153,Lakshan Sandakan,Sri Lanka,"$25,000","$7,500","$5,500","$3,500",20250.0
154,Ashen Bandara,Sri Lanka,"$25,000","$7,500","$5,500","$3,500",20250.0
155,Tamim Iqbal,Bangladesh,"$57,000","$7,100","$3,600","$2,400",46170.0
156,Soumya Sarkar,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
157,Shakib Al Hasan,Bangladesh,"$57,000","$7,100","$3,600","$2,400",46170.0
158,Shadman Islam,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
159,Sabbir Rahman,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
160,Rubel Hossain,Bangladesh,"$43,000","$7,100","$3,600","$2,400",34830.0
161,Nazmul Hossain Shanto,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
162,Mushfiqur Rahim,Bangladesh,"$57,000","$7,100","$3,600","$2,400",46170.0
163,Mosaddek Hossain,Bangladesh,"$14,000","$7,100","$3,600","$2,400",11340.0
164,Mominul Haque,Bangladesh,"$30,000","$7,100","$3,600","$2,400",24300.0
165,Mohmaad Saifudin,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
166,Mohammad Mithun Ali,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
167,Mehidy Hasan Mirz,Bangladesh,"$28,000","$7,100","$3,600","$2,400",22680.0
168,Mashrafe Mortaza,Bangladesh,"$60,000","$7,100","$3,600","$2,400",48600.0
169,Mahmudullah,Bangladesh,"$60,000","$7,100","$3,600","$2,400",48600.0
170,Liton Das,Bangladesh,"$28,000","$7,100","$3,600","$2,400",22680.0
171,Kamrul Islam Rabbi,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
172,Imrul Kayers,Bangladesh,"$43,000","$7,100","$3,600","$2,400",34830.0
173,Farhad Reza,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
174,Anamul Haque,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
175,Afif Hossain,Bangladesh,0,"$7,100","$3,600","$2,400",0.0
